species,SVMP,SVMP_clr,Reg1,Reg2,Reg3
Boiga_irregularis,0.688226777,3.713159821,1,1,4
Dispholidus_typus,2.821722852,4.255178159,3,2,4
Hypsiglena_torquata,2.751484952,5.047714153,3,2,4
Opheodrys_aestivus,-0.399213836,-0.493164103,7,4,4
Pantherophis_guttatus,-0.399284019,-1.285224511,5,3,4
Phalotris_mertensi,0.852053529,3.185941452,2,1,4
Philodryas_olfersii,2.566762637,4.602049866,3,2,4
Thamnodynastes_strigatus,2.840055323,5.825215135,3,2,4
Agkistrodon_piscivorus,1.739986761,4.895888274,3,2,2
Atropoides_picadoi,2.732313956,3.66425975,3,2,2
Bothriechis_lateralis,2.505774697,3.134463545,3,2,2
Bothriechis_schlegelii,2.350545516,2.448476061,3,2,2
Bothrops_alternatus,2.706669156,3.903230744,3,2,2
Bothrops_asper,2.485664868,3.686739748,3,2,2
Bothrops_atrox,2.760067398,4.09477235,3,2,2
Bothrops_colombiensis,2.13114086,3.531126619,3,2,2
Bothrops_insularis,2.574411326,3.329758661,3,2,2
Bothrops_jararaca,2.712007513,3.272429385,3,2,2
Bothrops_jararacussu,0.884429117,3.684017481,4,2,2
Bothrops_moojeni,2.795360528,4.097512861,3,2,2
Bothrops_neuwiedi,2.055614142,3.458137096,3,2,2
Cerrophidion_godmani,2.753080674,3.510404489,3,2,2
Crotalus_adamanteus,1.938191918,3.275698089,5,3,2
Crotalus_durissus,-0.235324367,2.773981991,5,3,2
Crotalus_horridus,-0.508750647,-1.990595179,5,3,2
Crotalus_simus,0.24612442,2.20807905,4,3,2
Crotalus_scutulatus,0.800457806,2.411824344,5,3,2
Gloydius_intermedius,1.730054146,2.431548782,4,3,2
Lachesis_muta,-0.160843603,2.212795784,4,3,2
Ovophis_okinavensis,2.774368128,3.457264989,5,3,2
Protobothrops_elegans,-0.028600184,3.221527757,5,3,2
Protobothrops_mucrosquamatus,2.347170187,4.062777178,5,3,2
Protobothrops_flavoviridis,1.501471811,3.176097381,5,3,2
Sistrurus_catenatus,0.716248171,2.07599461,5,3,2
Bungarus_flaviceps,-0.612242656,-1.920807592,7,4,3
Bungarus_multicinctus,-0.483120435,-2.481170641,7,4,3
Drysdalia_coronoides,-0.334277933,-1.802983955,7,4,3
Micrurus_altirostris,-0.336945636,0.767196341,7,4,3
Micrurus_corallinus,-0.556403047,0.670465296,6,4,3
Micrurus_fulvius,-0.331612132,1.42819596,6,4,3
Micrurus_lemniscatus,-0.4034999,-0.093297679,7,4,3
Micrurus_spixii,-0.454790159,-0.522871535,7,4,3
Micrurus_surinamensis,-0.498780177,-1.406515786,7,4,3
Naja_atra,-0.314729465,-0.026546967,7,4,3
Naja_kaouthia,-0.337468929,1.178151244,7,4,3
Ophiophagus_hannah,1.105054626,2.632105058,1,1,3
Pseudonaja_textilis,-0.563339519,-2.716536207,5,3,3
Bitis_gabonica,2.722965014,3.506450701,3,2,1
Echis_carinatus,2.73286191,4.145502001,3,2,1
Echis_coloratus,2.806058383,4.384949292,3,2,1
Echis_ocellatus,2.803163813,4.396064196,3,2,1
Echis_pyramidum,2.38904884,4.837958766,3,2,1
