species,ePLA2,Reg1,Reg2,Reg3
Boiga_irregularis,-0.461474263,1,1,4
Dispholidus_typus,-0.080031991,3,2,4
Hypsiglena_torquata,-0.463654083,3,2,4
Opheodrys_aestivus,0.451182501,7,4,4
Pantherophis_guttatus,2.799948184,5,3,4
Phalotris_mertensi,-0.612216239,2,1,4
Philodryas_olfersii,-0.539435104,3,2,4
Thamnodynastes_strigatus,-0.347029762,3,2,4
Agkistrodon_piscivorus,-0.555961591,3,2,2
Atropoides_picadoi,-0.496800054,3,2,2
Bothriechis_lateralis,-0.581916282,3,2,2
Bothriechis_schlegelii,-0.794196933,3,2,2
Bothrops_alternatus,-0.52278517,3,2,2
Bothrops_asper,-0.603132172,3,2,2
Bothrops_atrox,-0.478411682,3,2,2
Bothrops_colombiensis,-0.569277353,3,2,2
Bothrops_insularis,-0.665162495,3,2,2
Bothrops_jararaca,-0.542252225,3,2,2
Bothrops_jararacussu,-0.535408592,4,2,2
Bothrops_moojeni,-0.425565648,3,2,2
Bothrops_neuwiedi,-0.709372748,3,2,2
Cerrophidion_godmani,-0.527913521,3,2,2
Crotalus_adamanteus,-0.657107195,5,3,2
Crotalus_durissus,-0.343935613,5,3,2
Crotalus_horridus,-0.523308863,5,3,2
Crotalus_simus,-0.900691872,4,3,2
Crotalus_scutulatus,-0.827893652,5,3,2
Gloydius_intermedius,-0.96572225,4,3,2
Lachesis_muta,-0.422992017,4,3,2
Ovophis_okinavensis,-0.466734078,5,3,2
Protobothrops_elegans,-0.36429282,5,3,2
Protobothrops_mucrosquamatus,-0.494906486,5,3,2
Protobothrops_flavoviridis,-0.731309262,5,3,2
Sistrurus_catenatus,-0.684832772,5,3,2
Bungarus_flaviceps,1.559973376,7,4,3
Bungarus_multicinctus,0.379063726,7,4,3
Drysdalia_coronoides,-0.325407223,7,4,3
Micrurus_altirostris,-0.177729566,7,4,3
Micrurus_corallinus,1.977427802,6,4,3
Micrurus_fulvius,2.647357137,6,4,3
Micrurus_lemniscatus,0.363798869,7,4,3
Micrurus_spixii,1.216401792,7,4,3
Micrurus_surinamensis,0.840437155,7,4,3
Naja_atra,-0.288225932,7,4,3
Naja_kaouthia,0.148517432,7,4,3
Ophiophagus_hannah,-0.336320973,1,1,3
Pseudonaja_textilis,2.414894519,5,3,3
Bitis_gabonica,-0.632877207,3,2,1
Echis_carinatus,-0.467614451,3,2,1
Echis_coloratus,-0.449261397,3,2,1
Echis_ocellatus,-0.428224485,3,2,1
Echis_pyramidum,-0.581015956,3,2,1
