species,BPP.CNP,BPP.CNP_clr,Reg1,Reg2,Reg3
Boiga_irregularis,-0.398461713,0.836613353,1,1,4
Dispholidus_typus,-0.408989879,-2.368906544,3,2,4
Hypsiglena_torquata,-0.119084599,2.814384035,3,2,4
Opheodrys_aestivus,-0.399213836,-0.200571193,7,4,4
Pantherophis_guttatus,-0.399284019,-0.992631601,5,3,4
Phalotris_mertensi,-0.60291507,-1.873030388,2,1,4
Philodryas_olfersii,0.788405152,3.752204233,3,2,4
Thamnodynastes_strigatus,-0.347029762,-0.998155755,3,2,4
Agkistrodon_piscivorus,-0.255317351,2.86291465,3,2,2
Atropoides_picadoi,0.447183364,2.434405272,3,2,2
Bothriechis_lateralis,1.041012607,2.491272462,3,2,2
Bothriechis_schlegelii,1.035253997,1.90675995,3,2,2
Bothrops_alternatus,0.12862613,2.302303521,3,2,2
Bothrops_asper,0.510616761,2.666689782,3,2,2
Bothrops_atrox,-0.105145425,1.934205264,3,2,2
Bothrops_colombiensis,-0.496293077,-0.079791293,3,2,2
Bothrops_insularis,0.519681634,2.323928106,3,2,2
Bothrops_jararaca,-0.225036539,0.944291218,3,2,2
Bothrops_jararacussu,-0.442200811,0.960550836,4,2,2
Bothrops_moojeni,-0.359945235,0.203975456,3,2,2
Bothrops_neuwiedi,0.627037582,2.731088364,3,2,2
Cerrophidion_godmani,0.117400503,1.884239783,3,2,2
Crotalus_adamanteus,-0.579918045,-0.23950006,5,3,2
Crotalus_durissus,-0.343935613,-0.663727002,5,3,2
Crotalus_horridus,1.118621879,2.734877389,5,3,2
Crotalus_simus,1.463514021,2.93153158,4,3,2
Crotalus_scutulatus,1.453249541,2.748932934,5,3,2
Gloydius_intermedius,-0.188704348,1.187570643,4,3,2
Lachesis_muta,2.829425593,4.731038854,4,3,2
Ovophis_okinavensis,-0.466734078,-0.378968915,5,3,2
Protobothrops_elegans,-0.30627187,1.466135931,5,3,2
Protobothrops_mucrosquamatus,-0.494906486,-1.964587429,5,3,2
Protobothrops_flavoviridis,-0.731309262,-2.440540859,5,3,2
Sistrurus_catenatus,-0.652729444,-1.700045019,5,3,2
Bungarus_flaviceps,-0.612242656,-1.628214682,7,4,3
Bungarus_multicinctus,-0.483120435,-2.18857773,7,4,3
Drysdalia_coronoides,-0.334277933,-1.510391045,7,4,3
Micrurus_altirostris,-0.359161832,-1.06302262,7,4,3
Micrurus_corallinus,1.397025289,3.313934648,6,4,3
Micrurus_fulvius,-0.473209269,-1.979140389,6,4,3
Micrurus_lemniscatus,-0.447400078,-1.816064277,7,4,3
Micrurus_spixii,-0.454790159,-0.230278625,7,4,3
Micrurus_surinamensis,-0.368913567,1.541675543,7,4,3
Naja_atra,-0.327981232,-1.431616243,7,4,3
Naja_kaouthia,-0.380235729,-1.250707564,7,4,3
Ophiophagus_hannah,-0.61894364,-2.997546012,1,1,3
Pseudonaja_textilis,-0.563339519,-2.423943297,5,3,3
Bitis_gabonica,-0.471618177,0.471004603,3,2,1
Echis_carinatus,-0.467614451,-2.346365955,3,2,1
Echis_coloratus,-0.449261397,-2.167402163,3,2,1
Echis_ocellatus,-0.428224485,-2.219326069,3,2,1
Echis_pyramidum,-0.581015956,-1.39191982,3,2,1
