species,CRISP,CRISP_clr,Reg1,Reg2,Reg3
Boiga_irregularis,-0.285641449,1.844310551,1,1,4
Dispholidus_typus,-0.175256643,1.628900556,3,2,4
Hypsiglena_torquata,0.317538642,3.632910158,3,2,4
Opheodrys_aestivus,-0.399213836,-5.204445565,7,4,4
Pantherophis_guttatus,0.146321473,3.93062704,5,3,4
Phalotris_mertensi,-0.590292055,-1.015580157,2,1,4
Philodryas_olfersii,0.077062158,2.984949081,3,2,4
Thamnodynastes_strigatus,-0.275282586,2.031501619,3,2,4
Agkistrodon_piscivorus,-0.555961591,-6.051124793,3,2,2
Atropoides_picadoi,-0.347144146,0.592635383,3,2,2
Bothriechis_lateralis,-0.361858128,0.49317656,3,2,2
Bothriechis_schlegelii,-0.363737891,0.459840968,3,2,2
Bothrops_alternatus,-0.401335606,0.62266135,3,2,2
Bothrops_asper,-0.543732229,-0.26450397,3,2,2
Bothrops_atrox,-0.452125326,-0.719036701,3,2,2
Bothrops_colombiensis,-0.423308801,0.613355887,3,2,2
Bothrops_insularis,-0.552677293,-0.030616726,3,2,2
Bothrops_jararaca,-0.512396631,-1.418918497,3,2,2
Bothrops_jararacussu,-0.348993029,1.653698016,4,2,2
Bothrops_moojeni,-0.3861934,-0.306850168,3,2,2
Bothrops_neuwiedi,-0.655609114,-0.482056786,3,2,2
Cerrophidion_godmani,-0.325766959,0.723495713,3,2,2
Crotalus_adamanteus,-0.517082249,0.356061627,5,3,2
Crotalus_durissus,-0.343935613,-5.667601374,5,3,2
Crotalus_horridus,-0.421663658,-0.047262351,5,3,2
Crotalus_simus,-0.900691872,-7.218627705,4,3,2
Crotalus_scutulatus,-0.773362074,-0.98471912,5,3,2
Gloydius_intermedius,-0.188704348,1.187570643,4,3,2
Lachesis_muta,-0.422992017,-6.896310482,4,3,2
Ovophis_okinavensis,-0.466734078,-5.382843287,5,3,2
Protobothrops_elegans,-0.364251376,-5.778091584,5,3,2
Protobothrops_mucrosquamatus,-0.422514101,0.392588004,5,3,2
Protobothrops_flavoviridis,-0.412305063,1.23029844,5,3,2
Sistrurus_catenatus,0.079914355,1.470540516,5,3,2
Bungarus_flaviceps,-0.585182207,-0.13483369,7,4,3
Bungarus_multicinctus,-0.448434866,-0.209731025,7,4,3
Drysdalia_coronoides,-0.230786313,1.832002875,7,4,3
Micrurus_altirostris,-0.359161832,-6.066896992,7,4,3
Micrurus_corallinus,-0.705954615,-7.396028331,6,4,3
Micrurus_fulvius,-0.473209269,-6.983014761,6,4,3
Micrurus_lemniscatus,-0.445491375,-1.63374272,7,4,3
Micrurus_spixii,-0.454790159,-5.234152997,7,4,3
Micrurus_surinamensis,-0.505966472,-6.770314151,7,4,3
Naja_atra,-0.30479064,0.533068821,7,4,3
Naja_kaouthia,-0.380235729,-6.254581936,7,4,3
Ophiophagus_hannah,-0.00423934,1.600844951,1,1,3
Pseudonaja_textilis,0.046644937,1.480107884,5,3,3
Bitis_gabonica,-0.632877207,-7.596865355,3,2,1
Echis_carinatus,-0.371802781,0.636831549,3,2,1
Echis_coloratus,-0.19150365,1.848923678,3,2,1
Echis_ocellatus,-0.415183185,-1.11648168,3,2,1
Echis_pyramidum,-0.581015956,-6.395794192,3,2,1
