species,KSPI,Reg1,Reg2,Reg3
Boiga_irregularis,-0.458694297,1,1,4
Dispholidus_typus,-0.40249729,3,2,4
Hypsiglena_torquata,-0.461032003,3,2,4
Opheodrys_aestivus,-0.399213836,7,4,4
Pantherophis_guttatus,-0.399284019,5,3,4
Phalotris_mertensi,2.30436465,2,1,4
Philodryas_olfersii,-0.539435104,3,2,4
Thamnodynastes_strigatus,-0.347029762,3,2,4
Agkistrodon_piscivorus,-0.555961591,3,2,2
Atropoides_picadoi,-0.496224454,3,2,2
Bothriechis_lateralis,-0.580540919,3,2,2
Bothriechis_schlegelii,-0.779848299,3,2,2
Bothrops_alternatus,-0.52278517,3,2,2
Bothrops_asper,-0.600904674,3,2,2
Bothrops_atrox,-0.478411682,3,2,2
Bothrops_colombiensis,-0.569277353,3,2,2
Bothrops_insularis,-0.665162495,3,2,2
Bothrops_jararaca,-0.527324428,3,2,2
Bothrops_jararacussu,-0.535408592,4,2,2
Bothrops_moojeni,-0.395173036,3,2,2
Bothrops_neuwiedi,-0.709372748,3,2,2
Cerrophidion_godmani,-0.527913521,3,2,2
Crotalus_adamanteus,-0.651365854,5,3,2
Crotalus_durissus,-0.343935613,5,3,2
Crotalus_horridus,-0.507701406,5,3,2
Crotalus_simus,-0.874226881,4,3,2
Crotalus_scutulatus,-0.825512855,5,3,2
Gloydius_intermedius,-0.96572225,4,3,2
Lachesis_muta,-0.422992017,4,3,2
Ovophis_okinavensis,-0.466734078,5,3,2
Protobothrops_elegans,-0.36429282,5,3,2
Protobothrops_mucrosquamatus,-0.494906486,5,3,2
Protobothrops_flavoviridis,-0.731309262,5,3,2
Sistrurus_catenatus,-0.684832772,5,3,2
Bungarus_flaviceps,0.867471889,7,4,3
Bungarus_multicinctus,0.042118192,7,4,3
Drysdalia_coronoides,-0.334277933,7,4,3
Micrurus_altirostris,-0.218459259,7,4,3
Micrurus_corallinus,-0.69527236,6,4,3
Micrurus_fulvius,-0.36971411,6,4,3
Micrurus_lemniscatus,-0.115762862,7,4,3
Micrurus_spixii,-0.454790159,7,4,3
Micrurus_surinamensis,-0.451042648,7,4,3
Naja_atra,-0.324668291,7,4,3
Naja_kaouthia,-0.376347838,7,4,3
Ophiophagus_hannah,-0.548287973,1,1,3
Pseudonaja_textilis,-0.276269351,5,3,3
Bitis_gabonica,0.173328997,3,2,1
Echis_carinatus,-0.4580531,3,2,1
Echis_coloratus,-0.449261397,3,2,1
Echis_ocellatus,-0.419749836,3,2,1
Echis_pyramidum,-0.581015956,3,2,1
